model_id,model,quant,bytes_per_param,context_tokens,weights_gb,kv_cache_gb,overhead_gb,total_gb,total_gb_q8_cache
qwen3.8-27b,Qwen3.8 27B,Q6_K,0.82,262144,22.8,17.33,1.41,41.54,32.95
qwen3.8-27b,Qwen3.8 27B,Q5_K_M,0.71,4096,19.74,0.42,1.29,21.45,21.31
qwen3.8-27b,Qwen3.8 27B,Q5_K_M,0.71,8192,19.74,0.69,1.29,21.71,21.45
qwen3.8-27b,Qwen3.8 27B,Q5_K_M,0.71,16384,19.74,1.22,1.29,22.25,21.71
qwen3.8-27b,Qwen3.8 27B,Q5_K_M,0.71,32768,19.74,2.3,1.29,23.33,22.25
qwen3.8-27b,Qwen3.8 27B,Q5_K_M,0.71,65536,19.74,4.44,1.29,25.47,23.33
qwen3.8-27b,Qwen3.8 27B,Q5_K_M,0.71,131072,19.74,8.74,1.29,29.77,25.47
qwen3.8-27b,Qwen3.8 27B,Q5_K_M,0.71,262144,19.74,17.33,1.29,38.36,29.77
qwen3.8-27b,Qwen3.8 27B,Q4_K_M,0.58,4096,16.12,0.42,1.14,17.69,17.55
qwen3.8-27b,Qwen3.8 27B,Q4_K_M,0.58,8192,16.12,0.69,1.14,17.96,17.69
qwen3.8-27b,Qwen3.8 27B,Q4_K_M,0.58,16384,16.12,1.22,1.14,18.49,17.96
qwen3.8-27b,Qwen3.8 27B,Q4_K_M,0.58,32768,16.12,2.3,1.14,19.57,18.49
